,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
1486,13-2070,180,14.9,0.0,74010,9.9,42950,57360,79620,250.792,128.2,3.8,2701.49,2018
1487,13-2072,170,15.7,0.0,75570,10.4,43050,58660,81210,250.792,128.2,3.8,2701.49,2018
1488,13-2090,430,11.5,0.01,78850,8.4,50550,69380,92880,250.792,128.2,3.8,2701.49,2018
1489,13-2099,430,11.5,0.01,78850,8.4,50550,69380,92880,250.792,128.2,3.8,2701.49,2018
1490,15-0000,17230,4.2,0.24,74440,1.9,49240,68470,94420,250.792,128.2,3.8,2701.49,2018
1491,15-1100,17190,4.2,0.24,74430,1.9,49210,68450,94440,250.792,128.2,3.8,2701.49,2018
1492,15-1120,1620,10.5,0.02,87820,2.5,62840,83880,107360,250.792,128.2,3.8,2701.49,2018
1493,15-1121,1310,10.4,0.02,89720,2.1,67020,86850,108490,250.792,128.2,3.8,2701.49,2018
1494,15-1122,310,30.6,0.0,79760,7.7,53280,66440,99630,250.792,128.2,3.8,2701.49,2018
1495,15-1130,3260,8.3,0.05,93880,3.3,67890,89730,116870,250.792,128.2,3.8,2701.49,2018
1496,15-1131,1390,13.7,0.02,94460,6.3,65410,85410,116550,250.792,128.2,3.8,2701.49,2018
1497,15-1132,950,8.0,0.01,97650,1.5,75820,96780,119850,250.792,128.2,3.8,2701.49,2018
1498,15-1133,650,22.9,0.01,101050,1.5,79890,97750,121940,250.792,128.2,3.8,2701.49,2018
1499,15-1134,260,12.2,0.0,59600,4.4,40260,54310,71670,250.792,128.2,3.8,2701.49,2018
1500,15-1140,5290,10.7,0.07,78390,3.3,52680,74000,99040,250.792,128.2,3.8,2701.49,2018
1501,15-1141,270,8.8,0.0,91230,3.5,63550,85030,112990,250.792,128.2,3.8,2701.49,2018
1502,15-1142,3800,8.5,0.05,78910,2.8,56990,75120,97630,250.792,128.2,3.8,2701.49,2018
1503,15-1143,1220,39.0,0.02,73980,5.8,33850,62030,102390,250.792,128.2,3.8,2701.49,2018
1504,15-1150,5800,4.5,0.08,56120,1.3,40880,53310,67380,250.792,128.2,3.8,2701.49,2018
1505,15-1151,4270,4.3,0.06,53810,1.1,39870,51030,64160,250.792,128.2,3.8,2701.49,2018
1506,15-1152,1530,11.4,0.02,62590,3.2,45360,59130,76870,250.792,128.2,3.8,2701.49,2018
